Store_Name,Address,lat,lgt,center_latitude,center_longitude,DataVerificationFlag
Abercorn,"11152 Abercorn St, Savannah, GA 31419",31.9806088,-81.1437232,31.980611499999995,-81.14372279999999,0
Acworth,"3295 Cobb Pkwy NW, Acworth, GA 30101",34.0342075,-84.6787629,34.034204700000004,-84.6787887,0
Akers Mill Drive-Thru Only,"2975 Cobb Pkwy SE, Atlanta, GA 30339",33.8807272,-84.4609,33.880766,-84.46091249999999,0
Albany,"2609 Dawson Rd, Albany, GA 31707",31.6149805,-84.2171468,31.614617700000004,-84.216484,1
Albany State University,"504 College Dr, Albany, GA 31705",31.5694324,-84.14170829999999,31.569262400000003,-84.1418621,0
Alpharetta Commons,"4285 State Bridge Rd, Alpharetta, GA 30022",34.0571575,-84.23292049999999,34.0571625,-84.23292099999999,0
Americus [GA],"736 E Forsyth St, Americus, GA 31709",32.0740826,-84.2211921,32.0737929,-84.2202088,1
Arbor Place,"6700 Douglas Blvd Ste 210, Douglasville, GA 30135",33.7277049,-84.7457428,33.7277462,-84.7457819,0
AT&T Center OCV,"725 W Peachtree St NE, Atlanta, GA 30308",33.7739924,-84.3866474,33.7743362,-84.3867878,0
Athens/Atlanta Highway,"3637 Atlanta Hwy, Athens, GA 30606",33.938384,-83.45638660000002,33.9384516,-83.4563141,0
Augusta Exchange,"202 Robert C Daniel Jr Pkwy, Augusta, GA 30909",33.4918953,-82.0780999,33.4919017,-82.07809429999999,0
Augusta Mall,"3450 Wrightsboro Rd, Augusta, GA 30909",33.4636223,-82.0788051,33.463218399999995,-82.0790304,0
Austell Road,"3951 Austell Rd, Austell, GA 30106",33.857905,-84.5998699,33.8578842,-84.599936,0
Avalon,"2720 Old Milton Pkwy, Alpharetta, GA 30009",34.0692784,-84.28097559999999,34.069292,-84.2809858,0
Bainbridge,"1451 Tallahassee Hwy, Bainbridge, GA 39819",30.8847713,-84.56498479999999,30.884764899999997,-84.5649975,0
Bankhead Hwy,"1156 Bankhead Hwy, Carrollton, GA 30116",33.5959486,-85.0386151,33.5959505,-85.0386071,0
Barnett Shoals,"1870 Barnett Shoals Rd, Athens, GA 30605",33.9245785,-83.3399853,33.9245604,-83.3395341,0
Barrett Parkway,"830 Ernest W Barrett Pkwy NW, Kennesaw, GA 30144",34.00706,-84.5739286,34.007070999999996,-84.573831,0
Bass Road,"1569 Bass Rd, Macon, GA 31210",32.9260433,-83.735365,32.9260594,-83.7353839,0
Beechwood,"196 Alps Rd, Athens, GA 30606",33.9449486,-83.4094121,33.944941299999996,-83.4093895,0
Berry College,"2277 Martha Berry Hwy NW, Mount Berry, GA 30149",34.28942,-85.1931705,34.2894442,-85.193426,0
Blairsville,"152 Highway 515 E, Blairsville, GA 30512",34.8765435,-83.9614514,34.8766898,-83.9617444,0
Bradley Park Drive,"1600 Bradley Park Dr, Columbus, GA 31904",32.5318413,-84.96810959999999,32.5318442,-84.96811009999999,0
Braselton,"2600 Old Winder Hwy, Braselton, GA 30517",34.1195756,-83.8263458,34.1199891,-83.8255416,1
Bremen,"89 US Highway 27 Byp, Bremen, GA 30110",33.6879026,-85.1502084,33.687695399999996,-85.15014529999999,0
Brookhaven,"4046 Peachtree Rd NE, Brookhaven, GA 30319",33.8610547,-84.3400518,33.8610587,-84.34002459999999,0
Brookstone,"1790 Mars Hill Rd NW, Acworth, GA 30101",33.9985763,-84.704453,33.9985838,-84.7044322,0
Brunswick (GA),"70 Golden Isles Plz, Brunswick, GA 31520",31.2115588,-81.49076319999999,31.211566500000004,-81.4907769,0
Buford,"1615 Buford Hwy, Buford, GA 30518",34.098467,-84.0104739,34.0987643,-84.0095607,1
Byron [GA],"402 GA Highway 49 N, Byron, GA 31008",32.6626674,-83.7390095,32.6624136,-83.7393941,0
Calhoun,"495 Highway 53 E, Calhoun, GA 30701",34.4749453,-84.92801,34.4749386,-84.9280141,0
Camp Creek Parkway,"3410 Camp Creek Pkwy, Atlanta, GA 30344",33.656436,-84.5016629,33.6564603,-84.50166960000001,0
Canton Marketplace,"2048 Cumming Hwy, Canton, GA 30115",34.2361792,-84.4534882,34.2361335,-84.45350499999999,0
Carrollton,"1316 S Park St, Carrollton, GA 30117",33.554566,-85.072209,33.5546511,-85.07227879999999,0
Cascade Road,"3725 Cascade Rd SW, Atlanta, GA 30331",33.7244757,-84.51121169999999,33.724473599999996,-84.5112125,0
Cedartown [GA],"1610 Rome Hwy, Cedartown, GA 30125",34.0477576,-85.2353303,34.0476959,-85.23508029999999,0
Chamblee Plaza,"5450 Peachtree Industrial Blvd, Chamblee, GA 30341",33.9578746,-84.2123801,33.9572229,-84.2132779,1
Chastain Road In-Line DT,"600 Chastain Rd NW Ste 100, Kennesaw, GA 30144",34.0369882,-84.5696724,34.0369277,-84.56957919999999,0
Chastain Square,"4285 Roswell Rd NE, Atlanta, GA 30342",33.8718466,-84.3805299,33.87186,-84.3805254,0
Cherokee Place,"115 Cherokee Pl, Cartersville, GA 30121",34.1712186,-84.7863399,34.17115,-84.7858599,0
Children's Hospital of Georgia,"1446 Harper St, Augusta, GA 30912",33.4711973,-81.987893,33.4707565,-81.9877327,0
Clayton,"151 Highway 441 N, Clayton, GA 30525",34.880374,-83.3970794,34.880380699999996,-83.3971018,0
Cleveland (GA),"25 W Underwood St, Cleveland, GA 30528",34.595049,-83.7638097,34.595050199999996,-83.7638169,0
Cleveland Avenue,"1065 Cleveland Ave, East Point, GA 30344",33.6817951,-84.4239609,33.681813,-84.4239674,0
CNN Center,"1 Cnn Ctr NW Ste 224, Atlanta, GA 30303",33.758129,-84.3943694,33.7578441,-84.39476979999999,0
College Football Hall of Fame,"256 Marietta St NW, Atlanta, GA 30313",33.7604153,-84.3954498,33.7601957,-84.3955103,0
Colony Square,"1175 Peachtree St NE, Atlanta, GA 30361",33.7869752,-84.3827183,33.786938299999996,-84.3827099,0
Columbus Park Crossing,"5520 Whittlesey Blvd, Columbus, GA 31909",32.5452239,-84.94508019999999,32.545228,-84.94509719999999,0
Columbus State University,"4225 University Ave, Columbus, GA 31907",32.5023087,-84.9414487,32.5026155,-84.9416517,0
Commerce,"30563 Highway 441 S, Commerce, GA 30529",34.2576527,-83.46373170000001,34.257657699999996,-83.46372850000002,0
Conyers,"1536 Highway 138 SE, Conyers, GA 30013",33.6498024,-84.00972639999999,33.6496882,-84.00929300000001,0
Cordele,"1711 E 16th Ave, Cordele, GA 31015",31.9609019,-83.7544693,31.9610379,-83.75443469999999,0
Cornelia,"330 Furniture Plaza Dr, Cornelia, GA 30531",34.5358727,-83.53468149999999,34.535872,-83.53467880000001,0
Covington (GA),"4102 Highway 278 NW, Covington, GA 30014",33.6034699,-83.8660201,33.603473099999995,-83.8660262,0
Covington Town Center,"11500 Town Center Drive, Covington, GA 30014",33.620113,-83.8403529,33.6191824,-83.8385064,1
Coweta Crossroads,"5 Glenda Trce, Newnan, GA 30265",33.4091293,-84.685892,33.409138899999995,-84.68592369999999,0
Cumberland Mall,"2860 Cumberland Mall SE Ste 1324, Atlanta, GA 30339",33.87976829999999,-84.46785990000001,33.8802012,-84.46859959999999,1
Dacula,"545 Dacula Rd, Dacula, GA 30019",34.0002637,-83.9082099,34.0002683,-83.90820649999999,0
Dahlonega,"488 Morrison Moore Pkwy E, Dahlonega, GA 30533",34.5343259,-83.9757283,34.5343276,-83.9757855,0
Dallas (GA),"300 Charlie Watts Dr, Dallas, GA 30157",33.90794959999999,-84.8226571,33.9079596,-84.8226538,0
Dalton,"1429 W Walnut Ave, Dalton, GA 30720",34.7598377,-84.9946093,34.759778,-84.9943284,0
Dalton Mall,"816 Walnut Square Blvd Ste 59, Dalton, GA 30721",34.758607,-84.93352720000001,34.7588814,-84.9333465,0
Dawsonville,"231 Power Center Dr, Dawsonville, GA 30534",34.3567254,-84.04444610000002,34.3567148,-84.0444298,0
Delta Air Lines Headquarters,"1030 Delta Blvd, Atlanta, GA 30354",33.656213,-84.4238195,33.6562193,-84.4240785,0
Doraville Plaza,"5700 Buford Hwy Ne, Doraville, GA 30340",33.9076345,-84.2691001,33.9076579,-84.2691129,0
Douglas [GA],"1305 Peterson Ave S, Douglas, GA 31533",31.4909572,-82.8514837,31.489889,-82.85169030000002,1
Douglasville,"3202 Highway 5, Douglasville, GA 30135",33.7173488,-84.76417339999999,33.7172914,-84.7641747,0
Downtown Athens In-Line,"101 College Ave, Athens, GA 30601",33.9579795,-83.375638,33.957909799999996,-83.3756915,0
Downtown Decatur,"105 E Trinity Pl, Decatur, GA 30030",33.7730408,-84.2960895,33.773043699999995,-84.2960907,0
Dublin,"2002 Veterans Blvd, Dublin, GA 31021",32.5406478,-82.9483703,32.5406435,-82.94839110000001,0
Dwarf House Chick-fil-A Classics Mt. Berry Square,"726 Mount Berry Sq NE, Rome, GA 30165",34.2853865,-85.18810909999999,34.28556890000001,-85.18714969999999,1
Dwarf House Shipping Container Drive-Thru,"315 Riverside Pkwy NE, Rome, GA 30161",34.2624016,-85.1706586,34.2624221,-85.17066899999999,0
Eagles Landing,"1275 Eagles Landing Pkwy, Stockbridge, GA 30281",33.5062747,-84.22854009999999,33.5062703,-84.2285411,0
East Lake,"2105 Roswell Rd, Marietta, GA 30062",33.9665793,-84.4918909,33.9665805,-84.49192529999999,0
Eisenhower Parkway,"5055 Brookhaven Rd, Macon, GA 31206",32.8111833,-83.7214212,32.8111337,-83.7214192,0
Ellijay,"475 Howard Simmons Rd, Ellijay, GA 30540",34.6584596,-84.4927554,34.6584548,-84.49278780000002,0
Epps Bridge,"1870 Epps Bridge Pkwy, Athens, GA 30606",33.9170969,-83.4428769,33.917099900000004,-83.442875,0
Fairburn,"7810 Senoia Rd, Fairburn, GA 30213",33.5435184,-84.5762541,33.5435059,-84.57629770000001,0
Fairburn Road Drive-Thru Only,"5888 Fairburn Rd, Douglasville, GA 30134",33.75081790000001,-84.7265974,33.7508397,-84.7265752,0
Fayetteville Dwarf House,"221 Banks Sta, Fayetteville, GA 30214",33.467444,-84.446589,33.4674951,-84.4465278,0
Fayetteville Towne Center,"875 Glynn St S, Fayetteville, GA 30214",33.4298632,-84.45870169999999,33.4298611,-84.45870029999999,0
Forest Park Dwarf House,"4959 Jonesboro Rd, Forest Park, GA 30297",33.6190338,-84.351778,33.6190346,-84.35174839999999,0
Forsyth [GA],"101 Industrial Park Dr, Forsyth, GA 31029",33.0269482,-83.91425079999999,33.027423899999995,-83.9129318,1
Fort Oglethorpe,"1137 Battlefield Pkwy, Fort Oglethorpe, GA 30742",34.9531909,-85.2451405,34.9531868,-85.2451406,0
Gainesville West,"805 Dawsonville Hwy, Gainesville, GA 30501",34.2968468,-83.8558336,34.2968384,-83.8558376,0
Georgia College and State University,"231 W Hancock St, Milledgeville, GA 31061",33.0827363,-83.23187229999999,33.0827654,-83.231904,0
Georgia Gwinnett College,"1000 University Center Ln, Lawrenceville, GA 30043",33.9814112,-84.0000397,33.9814034,-84.0000562,0
Georgia Southern University,"8107 Russell Un, Statesboro, GA 30460",32.4259367,-81.7828033,32.4258921,-81.7831642,0
Georgia Southern University - Armstrong Campus,"11935 Abercorn St, Savannah, GA 31419",31.978225,-81.16483199999999,31.9782463,-81.16495689999999,0
Georgia Southwestern State University,"800 Gsw State University Dr, Americus, GA 31709",32.05501,-84.2161405,32.055157,-84.21682469999999,1
Georgia State University,"66 Courtland Street, Atlanta, GA 30303",33.7592065,-84.3840369,33.7593003,-84.38442719999999,0
Georgia State University - Petit Science Center,"100 Piedmont Avenue SE, Atlanta, GA 30303",33.7510285,-84.38558130000001,33.7508457,-84.38550219999999,0
Georgia Tech,"350 Ferst Dr NW, Atlanta, GA 30332",33.7742484,-84.398842,33.7739994,-84.3986637,0
Glenwood Place,"401 Bill Kennedy Way SE, Atlanta, GA 30316",33.7423181,-84.3584968,33.742316599999995,-84.3584861,0
Godley Station,"205 Grand Central Boulevard, Pooler, GA 31322",32.131333,-81.25762499999999,32.131787599999996,-81.2575511,0
Grady Memorial Hospital,"80 Jesse Hill Jr Dr Se, Atlanta, GA 30303",33.7514934,-84.3826634,33.751743399999995,-84.3820892,1
Griffin,"1000 W Taylor St, Griffin, GA 30223",33.2470719,-84.2785214,33.2470779,-84.2785139,0
Grovetown,"210 Meridian Dr, Grovetown, GA 30813",33.4786328,-82.1984083,33.4788093,-82.19693199999999,1
Gulfstream Aerospace,"500 Gulfstream Rd, Savannah, GA 31408",32.1391744,-81.1972886,32.139071699999995,-81.1972839,0
Halcyon,"6105 Ollie Walk, Alpharetta, GA 30005",34.1103864,-84.22012459999999,34.110143799999996,-84.22027659999999,0
Hamilton Mill,"2635 Hamilton Mill Rd, Buford, GA 30519",34.0793743,-83.917723,34.0793739,-83.91771829999999,0
Hartsfield-Jackson Atlanta Int'l Airport - Conc A,"6000 N Terminal Pkwy, Atlanta, GA 30320",33.641392,-84.445118,33.6418743,-84.4464593,1
Hartsfield-Jackson Atlanta Int'l Airport - Conc C,"7700 Spine Rd, Atlanta, GA 30320",33.64,-84.44,33.6404227,-84.4391842,1
Hickory Flat,"6114 Hickory Flat Hwy, Canton, GA 30115",34.1765998,-84.42100049999999,34.1766392,-84.4212988,0
Hinesville,"877 W Oglethorpe Hwy, Hinesville, GA 31313",31.82152689999999,-81.6003522,31.8217126,-81.60023869999999,0
Hiram,"5223 Jimmy Lee Smith Parkway, Hiram, GA 30141",33.8876781,-84.7411929,33.8877805,-84.74086129999999,0
Howell Mill,"1942 Howell Mill Rd NW, Atlanta, GA 30318",33.8076775,-84.413082,33.8076602,-84.4129258,0
Hwy 96 and Houston Lake,"790 Highway 96, Bonaire, GA 31005",32.5539073,-83.6605872,32.5539117,-83.660594,0
Jefferson (GA),"156 Old Farm Road, Jefferson, GA 30549",34.123837,-83.604289,34.1236191,-83.60636439999999,1
Jesse Jewell Parkway,"1917 Jesse Jewell Pkwy NE, Gainesville, GA 30501",34.3136392,-83.7962672,34.3132602,-83.79680259999999,1
Jett Ferry Road,"2480 Jett Ferry Rd, Dunwoody, GA 30338",33.9585312,-84.3029171,33.958534199999995,-84.30291319999999,0
Jimmy Carter Blvd.,"5455 Jimmy Carter Blvd, Norcross, GA 30093",33.9078235,-84.2055754,33.9078374,-84.2056159,0
Jodeco Road,"2155 Jodeco Rd, McDonough, GA 30253",33.4807281,-84.2231011,33.4819907,-84.2233526,1
Johns Creek,"3643 Peachtree Pkwy, Suwanee, GA 30024",34.0707055,-84.16637109999999,34.0707423,-84.1664157,0
Jonesboro Dwarf House,"7348 Tara Blvd, Jonesboro, GA 30236",33.553919,-84.36965409999999,33.5539213,-84.3696418,0
Kedron Village,"1100 N Peachtree Pkwy, Peachtree City, GA 30269",33.4405206,-84.59080589999999,33.4405184,-84.59080259999999,0
Kennesaw State University,"395 Cobb Ave NW, Kennesaw, GA 30144",34.0387489,-84.5830539,34.0384678,-84.5830737,0
Kennesaw State University - Marietta,"1100 S Marietta Pkwy SE, Marietta, GA 30060",33.939042,-84.51909649999999,33.9390223,-84.51923699999999,0
Kingsland,"113 Lakes Blvd, Kingsland, GA 31548",30.7889277,-81.65117579999999,30.788933299999997,-81.65117289999999,0
Kroger/W. Marietta Crossing,"1000 Whitlock Ave NW, c/o Kroger Store GA-455",33.9533355,-84.5812941,33.9532889,-84.58140499999999,0
LaFayette Parkway,"1574 Lafayette Pkwy, Lagrange, GA 30241",33.0415283,-84.9745488,33.041533099999995,-84.97456439999999,0
Lake Dow,"860 Highway 81 E, McDonough, GA 30252",33.4393004,-84.122894,33.4392959,-84.12289489999999,0
Lake Oconee [GA],"2521 Towne Center Pkwy, Greensboro, GA 30642",33.541714,-83.20786,33.5425024,-83.2073616,1
Lake Park,"1015 Lakes Blvd, Lake Park, GA 31636",30.6828121,-83.2173825,30.682791399999996,-83.2178179,0
LakePoint,"94 Old Allatoona Rd SE, Cartersville, GA 30121",34.120328,-84.7458339,34.1203062,-84.74585040000001,0
Larry Mulkey Memorial Rd,"725 Atlanta Hwy, Cumming, GA 30040",34.1846087,-84.14635799999999,34.184633999999996,-84.1463685,0
Lassiter,"3046 Shallowford Rd, Marietta, GA 30062",34.0359969,-84.4611086,34.0359948,-84.4611097,0
Lavonia [GA],"20 Owens Dr, Lavonia, GA 30553",34.4480859,-83.12954669999999,34.4477725,-83.1293536,0
Lee Crossings,"1202 US Highway 19 S, Leesburg, GA 31763",31.6562022,-84.1736197,31.656230800000003,-84.1735988,0
Lenox Square,"3393 Peachtree Rd NE, Atlanta, GA 30326",33.8467259,-84.36241989999999,33.846550199999996,-84.3623738,0
Lilburn,"4801 Lawrenceville Hwy NW, Lilburn, GA 30047",33.8951128,-84.1410089,33.8951267,-84.14101099999999,0
Line Creek,"2720 Highway 54, Peachtree City, GA 30269",33.3962202,-84.60016019999999,33.396220899999996,-84.6001604,0
Locust Grove,"1005 Bandy Pkwy, Locust Grove, GA 30248",33.3516841,-84.12860309999999,33.3522781,-84.12894829999999,1
Loganville,"4321 Atlanta Hwy, Loganville, GA 30052",33.839706,-83.910068,33.8406854,-83.90874699999999,1
Lovejoy Station,"11161 Tara Blvd, Hampton, GA 30228",33.4494088,-84.32599359999999,33.4494079,-84.32599789999999,0
Lulah Hills,"3795 N Druid Hills Rd, Decatur, GA 30033",33.8114063,-84.2787525,33.8114075,-84.2787546,0
Macland Crossing,"2005 Macland Crossing Cir SW, Marietta, GA 30008",33.9046893,-84.6034857,33.9046888,-84.6035162,0
Macon Road,"2421 Wynnton Rd, Columbus, GA 31906",32.4719888,-84.9562527,32.472017199999996,-84.95626209999999,0
Madison (GA),"1781 Eatonton Rd, Madison, GA 30650",33.5637543,-83.4790453,33.5637658,-83.47907909999999,0
Mall of Georgia,"3333 Buford Dr Spc No1071, Buford, GA 30519",34.0662711,-83.98427459999999,34.0648562,-83.9843728,1
Mall of Georgia on Buford Drive,"3235 Buford Dr, Buford, GA 30519",34.0645016,-83.9889993,34.0644989,-83.9889887,0
Manchester Expressway,"2730 Manchester Expy, Columbus, GA 31904",32.5060192,-84.95222969999999,32.5059598,-84.9522684,0
McDonough,"1321 Highway 20 W, McDonough, GA 30253",33.4242934,-84.1834411,33.424280599999996,-84.18344019999999,0
Memorial Drive,"5542 Memorial Dr, Stone Mountain, GA 30083",33.8012663,-84.21178499999999,33.801277999999996,-84.21179389999999,0
Mercedes-Benz Stadium,"441 Martin Luther King Jr Dr NW, Atlanta, GA 30313",33.7556317,-84.401696,33.755446299999996,-84.4008144,1
Mercer University,"1400 Coleman Ave, Macon, GA 31207",32.8293681,-83.6515137,32.8293713,-83.6515129,0
Midland,"6501 Kitten Lake Dr, Midland, GA 31820",32.5395648,-84.8690634,32.539564399999996,-84.8690609,0
Midtown Savannah,"7 E Derenne Ave, Savannah, GA 31405",32.0283957,-81.110362,32.028518,-81.1106447,0
Milledgeville,"1730 N Columbia St, Milledgeville, GA 31061",33.1006343,-83.24818669999999,33.1006309,-83.24820009999999,0
Monroe (GA),"620 Highway 138, Monroe, GA 30655",33.7958305,-83.7413,33.7958255,-83.74130509999999,0
Moore Road,"1035 Peachtree Industrial Blvd, Suwanee, GA 30024",34.0520231,-84.0901252,34.052028199999995,-84.0900942,0
Moultrie,"502 Lane St, Moultrie, GA 31768",31.1733741,-83.7624676,31.1733813,-83.7625091,0
Mullins Crossing,"4201 Washington Rd, Evans, GA 30809",33.5253146,-82.11951030000002,33.525279999999995,-82.1194893,0
North Dalton,"1275 N Glenwood Ave, Dalton, GA 30721",34.7957762,-84.9627455,34.795405699999996,-84.96311539999999,0
North Decatur,"650 Decatur Village Way, Decatur, GA 30033",33.7956905,-84.2859355,33.7957284,-84.2858057,0
North Druid Hills,"2340 N Druid Hills Rd NE, Atlanta, GA 30329",33.827254,-84.32877119999999,33.8275986,-84.32863499999999,0
North Point Mall,"2180 N Point Cir, Alpharetta, GA 30022",34.0486398,-84.29384900000001,34.048435,-84.2945933,1
North Point Parkway,"6085 N Point Pkwy, Alpharetta, GA 30022",34.0485477,-84.288524,34.0484262,-84.28851019999999,0
North Valdosta,"3147 Inner Perimeter Rd, Valdosta, GA 31602",30.8798963,-83.29693979999999,30.879910799999998,-83.2969127,0
Northeast Georgia Medical Center,"743 Spring St NE, Gainesville, GA 30501",34.3034084,-83.8164795,34.3034167,-83.8164437,0
Northlake Festival,"3967 Lavista Rd, Tucker, GA 30084",33.8459618,-84.2525325,33.8459844,-84.2525031,0
Northridge Drive-Thru Only,"8433 Roswell Rd, Atlanta, GA 30350",33.9843802,-84.3499405,33.9843646,-84.34993759999999,0
Oakwood,"3437 Winder Hwy, Flowery Branch, GA 30542",34.2185701,-83.8607145,34.2185649,-83.8607681,0
Outlet Shoppes at Atlanta,"951 Ridgewalk Pkwy, Woodstock, GA 30188",34.1229958,-84.52545549999999,34.1229905,-84.5254621,0
Peach Orchard Road,"3130 Peach Orchard Rd, Augusta, GA 30906",33.41031359999999,-82.0260933,33.4098243,-82.0264177,0
Peachtree at Collier,"1901 Peachtree Rd NE, Atlanta, GA 30309",33.8070022,-84.3935434,33.8069352,-84.3934882,0
Peachtree Center,"225 Peachtree St NE # B-40, Atlanta, GA 30303",33.7602157,-84.38708489999999,33.7603496,-84.3868035,0
Peachtree City Midtown,"707 Highway 54, Peachtree City, GA 30269",33.4096653,-84.5673636,33.4097819,-84.5672633,0
Peachtree Corners,"6105 Peachtree Pkwy, Norcross, GA 30092",33.9532887,-84.2346827,33.9532885,-84.2346731,0
Peachtree Ind. & Pleasant Hill,"3555 Peachtree Industrial Blvd, Duluth, GA 30096",34.0015621,-84.16973469999999,34.0015691,-84.16972000000001,0
Perimeter at Hammond Drive,"4350 Ashford Dunwoody Rd NE, Atlanta, GA 30346",33.9209789,-84.34151059999999,33.920990499999995,-84.3415795,0
Perimeter Mall,"4400 Ashford Dunwoody Rd Ne, Atlanta, GA 30346",33.9235924,-84.3407299,33.923739999999995,-84.34124100000001,1
Perimeter Pointe,"1145 Mount Vernon Hwy, Dunwoody, GA 30338",33.9340607,-84.3500172,33.9340635,-84.3500172,0
Piedmont Augusta,"1350 Walton Way, Augusta, GA 30901",33.4711803,-81.9830535,33.4707824,-81.9828773,0
