Store_Name,Address,lat,lgt,NumPanels,YearlyEnergy,SolarArea,OutputVerificationFlag
Abercorn,"11152 Abercorn St, Savannah, GA 31419",31.9806088,-81.1437232,98,60382.832,192.42838,0
Acworth,"3295 Cobb Pkwy NW, Acworth, GA 30101",34.0342075,-84.6787629,66,39036.93,129.59462,0
Akers Mill Drive-Thru Only,"2975 Cobb Pkwy SE, Atlanta, GA 30339",33.8807272,-84.4609,19,10797.524,37.30754,0
Albany,"2609 Dawson Rd, Albany, GA 31707",31.6149805,-84.2171468,859,551422.4,1686.6936,0
Albany State University,"504 College Dr, Albany, GA 31705",31.5694324,-84.14170829999999,1055,667288.2,2071.5503,0
Alpharetta Commons,"4285 State Bridge Rd, Alpharetta, GA 30022",34.0571575,-84.23292049999999,89,51920.957,174.75638,0
Americus [GA],"736 E Forsyth St, Americus, GA 31709",32.0740826,-84.2211921,464,283568.94,911.0895,0
Arbor Place,"6700 Douglas Blvd Ste 210, Douglasville, GA 30135",33.7277049,-84.7457428,24620,14940878,48342.72,1
AT&T Center OCV,"725 W Peachtree St NE, Atlanta, GA 30308",33.7739924,-84.3866474,2132,1007519.8,4186.299,1
Athens/Atlanta Highway,"3637 Atlanta Hwy, Athens, GA 30606",33.938384,-83.45638660000002,103,64170.668,202.24615,0
Augusta Exchange,"202 Robert C Daniel Jr Pkwy, Augusta, GA 30909",33.4918953,-82.0780999,62,36661.055,121.7404,0
Augusta Mall,"3450 Wrightsboro Rd, Augusta, GA 30909",33.4636223,-82.0788051,20820,12939655,40881.21,1
Austell Road,"3951 Austell Rd, Austell, GA 30106",33.857905,-84.5998699,203,115243.45,398.60162,0
Avalon,"2720 Old Milton Pkwy, Alpharetta, GA 30009",34.0692784,-84.28097559999999,136,72906.88,267.04346,0
Bainbridge,"1451 Tallahassee Hwy, Bainbridge, GA 39819",30.8847713,-84.56498479999999,36,22712.963,70.68797,0
Bankhead Hwy,"1156 Bankhead Hwy, Carrollton, GA 30116",33.5959486,-85.0386151,154,90467.27,302.38745,0
Barnett Shoals,"1870 Barnett Shoals Rd, Athens, GA 30605",33.9245785,-83.3399853,155,96628.18,304.351,0
Barrett Parkway,"830 Ernest W Barrett Pkwy NW, Kennesaw, GA 30144",34.00706,-84.5739286,270,151739.06,530.1598,0
Bass Road,"1569 Bass Rd, Macon, GA 31210",32.9260433,-83.735365,115,68290.7,225.8088,0
Beechwood,"196 Alps Rd, Athens, GA 30606",33.9449486,-83.4094121,99,61284.605,194.39194,0
Berry College,"2277 Martha Berry Hwy NW, Mount Berry, GA 30149",34.28942,-85.1931705,212,117055.445,416.27362,0
Blairsville,"152 Highway 515 E, Blairsville, GA 30512",34.8765435,-83.9614514,97,45829.23,190.46483,0
Bradley Park Drive,"1600 Bradley Park Dr, Columbus, GA 31904",32.5318413,-84.96810959999999,69,41987.08,135.48529,0
Braselton,"2600 Old Winder Hwy, Braselton, GA 30517",34.1195756,-83.8263458,221,137020,433.94562,0
Bremen,"89 US Highway 27 Byp, Bremen, GA 30110",33.6879026,-85.1502084,234,131743.77,459.47183,0
Brookhaven,"4046 Peachtree Rd NE, Brookhaven, GA 30319",33.8610547,-84.3400518,307,179668.05,602.81134,0
